main1,main2,main3,main4,main5,main6,bonus,times,date,set-ball
7,13,14,29,38,42,9,第114回,2002年12月12日,H
8,9,11,27,37,39,18,第115回,2002年12月19日,E
8,10,15,16,26,31,42,第116回,2002年12月26日,J
5,7,19,20,38,43,4,第117回,2003年1月9日,F
9,13,21,30,32,37,20,第118回,2003年1月16日,D
3,4,11,12,15,30,17,第119回,2003年1月23日,H
15,18,22,25,36,40,14,第120回,2003年1月30日,C
3,8,10,22,28,41,35,第121回,2003年2月6日,E
19,20,21,25,33,42,41,第122回,2003年2月13日,B
14,21,26,28,29,31,8,第123回,2003年2月20日,G
4,17,23,30,39,40,28,第124回,2003年2月27日,C
11,15,19,30,36,41,10,第125回,2003年3月6日,I
5,6,9,10,21,38,20,第126回,2003年3月13日,A
14,16,21,26,37,40,3,第127回,2003年3月20日,F
6,10,18,20,29,39,21,第128回,2003年3月27日,D
6,18,25,26,30,42,24,第129回,2003年4月3日,G
22,30,31,34,38,39,2,第130回,2003年4月10日,B
6,30,33,34,40,43,1,第131回,2003年4月17日,H
3,18,23,31,32,37,1,第132回,2003年4月24日,A
17,24,26,35,40,41,16,第133回,2003年5月1日,C
2,6,11,14,18,19,21,第134回,2003年5月8日,E
7,13,30,33,35,36,11,第135回,2003年5月15日,I
3,13,26,31,32,39,1,第136回,2003年5月22日,F
10,13,20,22,25,42,14,第137回,2003年5月29日,J
7,9,10,16,23,29,18,第138回,2003年6月5日,B
10,21,22,28,37,41,12,第139回,2003年6月12日,D
17,19,29,37,39,40,10,第140回,2003年6月19日,H
8,9,14,24,32,39,30,第141回,2003年6月26日,F
2,16,22,27,29,39,38,第142回,2003年7月3日,G
17,21,22,27,33,41,43,第143回,2003年7月10日,A
1,16,19,33,38,41,43,第144回,2003年7月17日,G
1,4,10,21,23,38,7,第145回,2003年7月24日,I
7,17,27,36,37,39,4,第146回,2003年7月31日,A
16,18,20,29,30,38,27,第147回,2003年8月7日,E
3,16,18,20,28,29,9,第148回,2003年8月14日,C
8,9,13,20,33,37,19,第149回,2003年8月21日,H
10,11,18,20,31,43,27,第150回,2003年8月28日,J
3,8,17,25,28,32,27,第151回,2003年9月4日,B
4,8,12,16,31,33,17,第152回,2003年9月11日,A
4,7,8,12,25,26,41,第153回,2003年9月18日,E
7,9,18,26,27,38,14,第154回,2003年9月25日,F
5,6,7,18,22,27,41,第155回,2003年10月2日,G
6,20,22,29,30,35,39,第156回,2003年10月9日,B
5,8,17,19,25,27,21,第157回,2003年10月16日,D
1,6,12,35,37,38,30,第158回,2003年10月23日,H
12,23,30,31,38,42,6,第159回,2003年10月30日,I
4,10,20,30,31,32,26,第160回,2003年11月6日,C
23,26,28,33,38,42,8,第161回,2003年11月13日,J
3,22,25,30,33,37,35,第162回,2003年11月20日,A
2,3,11,17,24,34,28,第163回,2003年11月27日,E
1,2,13,14,35,38,32,第164回,2003年12月4日,G
9,11,16,21,25,36,10,第165回,2003年12月11日,I
14,18,20,28,34,38,17,第166回,2003年12月18日,H
10,14,17,19,29,42,2,第167回,2003年12月25日,D
1,6,31,32,36,39,42,第168回,2004年1月8日,B
3,15,17,19,26,36,39,第169回,2004年1月15日,F
10,12,15,17,30,31,6,第170回,2004年1月22日,C
5,6,17,23,32,33,39,第171回,2004年1月29日,A
10,11,22,23,33,34,27,第172回,2004年2月5日,J
6,10,22,30,31,35,18,第173回,2004年2月12日,E
2,9,16,36,38,42,6,第174回,2004年2月19日,F
2,3,10,22,28,40,43,第175回,2004年2月26日,D
8,19,25,31,34,37,30,第176回,2004年3月4日,G
6,18,19,30,36,41,27,第177回,2004年3月11日,G
10,22,27,30,36,39,4,第178回,2004年3月18日,I
3,6,11,13,15,16,23,第179回,2004年3月25日,A
4,10,11,12,20,36,28,第180回,2004年4月1日,B
1,2,7,21,29,30,23,第181回,2004年4月8日,H
22,23,28,37,40,43,30,第182回,2004年4月15日,E
14,29,31,36,38,40,33,第183回,2004年4月22日,C
5,7,23,31,39,42,19,第184回,2004年4月29日,G
8,13,14,18,35,41,33,第185回,2004年5月6日,A
7,16,18,33,36,41,4,第186回,2004年5月13日,I
12,21,22,27,39,40,25,第187回,2004年5月20日,B
3,8,18,25,26,39,38,第188回,2004年5月27日,J
3,32,35,36,39,40,5,第189回,2004年6月3日,F
17,23,30,31,39,43,42,第190回,2004年6月10日,I
4,7,25,27,34,43,35,第191回,2004年6月17日,C
3,7,19,27,39,41,10,第192回,2004年6月24日,C
3,4,18,31,40,43,22,第193回,2004年7月1日,D
4,11,12,21,36,38,37,第194回,2004年7月8日,C
5,10,12,22,26,41,19,第195回,2004年7月15日,F
